,,class,0
sepal_length,count,Iris-setosa,3.0
sepal_length,count,Iris-versicolor,3.0
sepal_length,count,Iris-virginica,3.0
sepal_length,mean,Iris-setosa,4.8999999999999995
sepal_length,mean,Iris-versicolor,6.766666666666667
sepal_length,mean,Iris-virginica,6.3999999999999995
sepal_length,std,Iris-setosa,0.19999999999999973
sepal_length,std,Iris-versicolor,0.3214550253664317
sepal_length,std,Iris-virginica,0.6557438524302001
sepal_length,min,Iris-setosa,4.7
sepal_length,min,Iris-versicolor,6.4
sepal_length,min,Iris-virginica,5.8
sepal_length,25%,Iris-setosa,4.800000000000001
sepal_length,25%,Iris-versicolor,6.65
sepal_length,25%,Iris-virginica,6.05
sepal_length,50%,Iris-setosa,4.9
sepal_length,50%,Iris-versicolor,6.9
sepal_length,50%,Iris-virginica,6.3
sepal_length,75%,Iris-setosa,5.0
sepal_length,75%,Iris-versicolor,6.95
sepal_length,75%,Iris-virginica,6.699999999999999
sepal_length,max,Iris-setosa,5.1
sepal_length,max,Iris-versicolor,7.0
sepal_length,max,Iris-virginica,7.1
sepal_width,count,Iris-setosa,3.0
sepal_width,count,Iris-versicolor,3.0
sepal_width,count,Iris-virginica,3.0
sepal_width,mean,Iris-setosa,3.233333333333333
sepal_width,mean,Iris-versicolor,3.1666666666666665
sepal_width,mean,Iris-virginica,3.0
sepal_width,std,Iris-setosa,0.2516611478423583
sepal_width,std,Iris-versicolor,0.05773502691896263
sepal_width,std,Iris-virginica,0.2999999999999998
sepal_width,min,Iris-setosa,3.0
sepal_width,min,Iris-versicolor,3.1
sepal_width,min,Iris-virginica,2.7
sepal_width,25%,Iris-setosa,3.1
sepal_width,25%,Iris-versicolor,3.1500000000000004
sepal_width,25%,Iris-virginica,2.85
sepal_width,50%,Iris-setosa,3.2
sepal_width,50%,Iris-versicolor,3.2
sepal_width,50%,Iris-virginica,3.0
sepal_width,75%,Iris-setosa,3.35
sepal_width,75%,Iris-versicolor,3.2
sepal_width,75%,Iris-virginica,3.15
sepal_width,max,Iris-setosa,3.5
sepal_width,max,Iris-versicolor,3.2
sepal_width,max,Iris-virginica,3.3
petal_length,count,Iris-setosa,3.0
petal_length,count,Iris-versicolor,3.0
petal_length,count,Iris-virginica,3.0
petal_length,mean,Iris-setosa,1.3666666666666665
petal_length,mean,Iris-versicolor,4.7
petal_length,mean,Iris-virginica,5.666666666666667
petal_length,std,Iris-setosa,0.0577350269189625
petal_length,std,Iris-versicolor,0.20000000000000018
petal_length,std,Iris-virginica,0.493288286231625
petal_length,min,Iris-setosa,1.3
petal_length,min,Iris-versicolor,4.5
petal_length,min,Iris-virginica,5.1
petal_length,25%,Iris-setosa,1.35
petal_length,25%,Iris-versicolor,4.6
petal_length,25%,Iris-virginica,5.5
petal_length,50%,Iris-setosa,1.4
petal_length,50%,Iris-versicolor,4.7
petal_length,50%,Iris-virginica,5.9
petal_length,75%,Iris-setosa,1.4
petal_length,75%,Iris-versicolor,4.800000000000001
petal_length,75%,Iris-virginica,5.95
petal_length,max,Iris-setosa,1.4
petal_length,max,Iris-versicolor,4.9
petal_length,max,Iris-virginica,6.0
petal_width,count,Iris-setosa,3.0
petal_width,count,Iris-versicolor,3.0
petal_width,count,Iris-virginica,3.0
petal_width,mean,Iris-setosa,0.20000000000000004
petal_width,mean,Iris-versicolor,1.4666666666666668
petal_width,mean,Iris-virginica,2.1666666666666665
petal_width,std,Iris-setosa,3.3993498887762956e-17
petal_width,std,Iris-versicolor,0.05773502691896263
petal_width,std,Iris-virginica,0.3055050463303894
petal_width,min,Iris-setosa,0.2
petal_width,min,Iris-versicolor,1.4
petal_width,min,Iris-virginica,1.9
petal_width,25%,Iris-setosa,0.2
petal_width,25%,Iris-versicolor,1.45
petal_width,25%,Iris-virginica,2.0
petal_width,50%,Iris-setosa,0.2
petal_width,50%,Iris-versicolor,1.5
petal_width,50%,Iris-virginica,2.1
petal_width,75%,Iris-setosa,0.2
petal_width,75%,Iris-versicolor,1.5
petal_width,75%,Iris-virginica,2.3
petal_width,max,Iris-setosa,0.2
petal_width,max,Iris-versicolor,1.5
petal_width,max,Iris-virginica,2.5
